Tiempo,EMG_mV_raw,EMG_mV_filtrado
59.738,0.035133021555996034,1.9814820794586578e-07
59.739,0.038326932606541124,2.116371153124715e-07
59.74,0.03193911050545094,2.250773987962379e-07
59.741,0.009581733151635281,2.3836875409173186e-07
59.742,-0.03193911050545094,2.516165068741948e-07
59.743,-0.028745199454905845,2.651493171881782e-07
59.744,-0.04471475470763132,2.786773652579799e-07
59.745,-0.05429648785926659,2.922480808498391e-07
59.746,-0.05429648785926659,3.0569777210289514e-07
59.747,-0.038326932606541124,3.1838232370695914e-07
59.748,-0.04152084365708622,3.3069628144588574e-07
59.749,-0.05110257680872151,3.430462913752489e-07
59.75,-0.05110257680872151,3.5527335327429014e-07
59.751,-0.028745199454905845,3.671574376942865e-07
59.752,-0.009581733151635281,3.790058071222022e-07
59.753,0.02235737735381566,3.9065816377397756e-07
59.754,0.019163466303270562,4.0241553663136357e-07
59.755,0.025551288404360755,4.152808437986869e-07
59.756,0.04152084365708622,4.28643799619169e-07
59.757,0.05749039890981169,4.4193738098119674e-07
59.758,0.028745199454905845,4.5537832879782427e-07
59.759,0.0031939110505450944,4.6916776193314215e-07
59.76,-0.02235737735381566,4.829476616779583e-07
59.761,-0.047908665758176414,4.971049714599516e-07
59.762,-0.047908665758176414,5.11106103277548e-07
59.763,-0.025551288404360755,5.234530151882473e-07
59.764,-0.028745199454905845,5.351934960551216e-07
59.765,-0.009581733151635281,5.465444703085808e-07
59.766,-0.0031939110505450944,5.577730621966541e-07
59.767,-0.009581733151635281,5.69990239697649e-07
59.768,0.012775644202180378,5.824976490306722e-07
59.769,0.02235737735381566,5.952635108612334e-07
59.77,0.038326932606541124,6.081553097187263e-07
59.771,0.028745199454905845,6.200809291547754e-07
59.772,0.035133021555996034,6.317620250840732e-07
59.773,0.03193911050545094,6.443352126993163e-07
59.774,0.02235737735381566,6.572789123693759e-07
59.775,0.0031939110505450944,6.695671106803762e-07
59.776,-0.028745199454905845,6.824611824151629e-07
59.777,-0.038326932606541124,6.953574792443304e-07
59.778,-0.05429648785926659,7.094505266670067e-07
59.779,-0.05749039890981169,7.284860516491265e-07
59.78,-0.060684309960356786,7.500846460177597e-07
59.781,-0.06387822101090188,7.728871712168009e-07
59.782,-0.06387822101090188,7.970449271300694e-07
59.783,-0.028745199454905845,8.218211577771432e-07
59.784,-0.0031939110505450944,8.472929088556931e-07
59.785,0.012775644202180378,8.739477797639665e-07
59.786,0.0031939110505450944,9.012077750753321e-07
59.787,0.0031939110505450944,9.277768719280857e-07
59.788,0.019163466303270562,9.54411037072318e-07
59.789,0.009581733151635281,9.8145394910754e-07
59.79,0.03193911050545094,1.0088589543054377e-06
59.791,0.02235737735381566,1.0369670399540271e-06
59.792,0.0,1.0655843259215215e-06
59.793,-0.01596955525272547,1.0944940899604465e-06
59.794,-0.038326932606541124,1.1238018846824049e-06
59.795,-0.060684309960356786,1.1536495580069936e-06
59.796,-0.05429648785926659,1.1838608916614606e-06
59.797,-0.05110257680872151,1.2145906006427697e-06
59.798,-0.05429648785926659,1.2456088699612177e-06
59.799,-0.04152084365708622,1.27631416085277e-06
59.8,0.012775644202180378,1.3071534796329594e-06
59.801,0.009581733151635281,1.3380278983571554e-06
59.802,0.02235737735381566,1.3691452299835867e-06
59.803,0.04152084365708622,1.4015334088859942e-06
59.804,0.01596955525272547,1.4345195027626579e-06
59.805,0.009581733151635281,1.4672190045283775e-06
59.806,0.012775644202180378,1.5000021875652903e-06
59.807,0.019163466303270562,1.533523929321494e-06
59.808,0.0,1.5669186692640325e-06
59.809,-0.01596955525272547,1.6006319740606117e-06
59.81,-0.04471475470763132,1.633802250585227e-06
59.811,-0.06387822101090188,1.6637573233486834e-06
59.812,-0.05429648785926659,1.6921840503534207e-06
59.813,-0.05110257680872151,1.7200652351944017e-06
59.814,-0.060684309960356786,1.7472716617522068e-06
59.815,-0.060684309960356786,1.7742820374141276e-06
59.816,-0.047908665758176414,1.8010740665183642e-06
59.817,-0.028745199454905845,1.8272816062014315e-06
59.818,-0.025551288404360755,1.8533386928483722e-06
59.819,-0.006387822101090189,1.880261355756956e-06
59.82,0.009581733151635281,1.907441560528077e-06
59.821,0.0031939110505450944,1.934582856476821e-06
59.822,0.0031939110505450944,1.961723903094365e-06
59.823,0.01596955525272547,1.9886065531726434e-06
59.824,0.019163466303270562,2.015349439213277e-06
59.825,0.006387822101090189,2.042147295595541e-06
59.826,-0.019163466303270562,2.068865812596529e-06
59.827,-0.03193911050545094,2.0952838864352147e-06
59.828,-0.04152084365708622,2.1216132712135757e-06
59.829,-0.060684309960356786,2.147675141238618e-06
59.83,-0.060684309960356786,2.1737155793955232e-06
59.831,-0.06387822101090188,2.200411303123516e-06
59.832,-0.05749039890981169,2.2272333708628443e-06
