sujeto,condicion,ventana,RMS,MAV,WL,ZC,SSC,WAMP,MNF,MDF,Power
Sujeto2,Moderado,17,0.007771150009918912,0.0012832010934185347,6.272123321222285,63,305,154,157.97126850195497,155.0,9.582030945803565e-05
Sujeto2,Moderado,18,0.007558810676630901,0.001486133542865561,5.017977267384739,49,325,142,99.26477686725093,87.5,6.754560268664796e-05
Sujeto2,Moderado,19,0.011126276114576809,0.003149559647533686,12.01291191893908,110,653,314,139.67471288010503,123.5,0.00023785935658215992
Sujeto2,Moderado,20,0.009882153077947271,0.002662262719133154,10.347629608530763,96,605,275,136.6107367913661,124.0,0.00023281796022977806
Sujeto2,Moderado,21,0.007133377404190883,0.0018019625202421003,6.749480058371619,74,484,191,133.59251207539936,117.5,6.607347009803948e-05
Sujeto2,Moderado,22,0.008540595945625024,0.002235924385358655,8.085577640426052,80,512,239,128.28834540820327,107.5,0.00014955724636705724
Sujeto2,Moderado,23,0.007965574824675154,0.0017990770967770053,6.216369020132763,61,415,204,105.27954237109938,96.5,0.00011528169157927717
Sujeto2,Moderado,24,0.006032446600014731,0.0011008295788947802,3.906364315300174,43,286,125,111.58813703028972,97.0,6.648133442994224e-05
Sujeto2,Moderado,25,0.008334051676735708,0.0019245540395284972,6.686821711774261,56,442,186,106.58354893898945,88.5,0.0001619983866421669
Sujeto2,Moderado,26,0.011222429704465823,0.0033390569101120543,11.921326617886535,102,688,323,127.10259915779726,110.0,0.00028233041850635806
Sujeto2,Moderado,27,0.013627726142417815,0.004228098084434006,14.001156085954568,121,737,381,107.24279478532922,95.0,0.0003825286585307581
Sujeto2,Moderado,28,0.019788425463980942,0.006634030150767194,22.5377309860007,161,835,553,112.95483610213527,99.5,0.0006678859833060294
Sujeto2,Moderado,29,0.023116565926640277,0.008581526493216772,30.840472075322637,210,961,730,115.09338238062061,102.0,0.0012577688790959831
Sujeto2,Moderado,30,0.016756960224328234,0.005074478094239679,18.45754768239786,136,690,467,123.61621256336618,112.5,0.0004951680211391588
Sujeto2,Moderado,31,0.005951507084240508,0.0011511136020324522,4.331643811608824,42,322,131,122.65969750004443,105.0,7.564610978264657e-05
Sujeto2,Moderado,32,0.011776469829252323,0.0030208762116980645,10.299144917243003,85,467,273,119.54444777881078,102.5,0.00013825212899470202
Sujeto2,Moderado,33,0.013083401660323237,0.0041572221010488025,13.916993960685176,121,711,376,114.71015306582578,95.0,0.0004634659774656714
Sujeto2,Moderado,34,0.007166246419814308,0.001901217133971359,6.511829307988771,65,548,182,116.22659873005234,99.5,7.943504920836059e-05
Sujeto2,Moderado,35,0.007924229146888317,0.001452925546627447,5.28008891598822,48,363,143,115.28841483313843,95.5,0.00014520632688635782
Sujeto2,Moderado,36,0.007723289481517721,0.0011737386946883324,4.137654911587817,35,243,112,114.25300683769444,98.0,0.00013561512081054113
Sujeto2,Moderado,37,0.005935718917225293,0.00106773996555665,3.988036769272421,37,296,94,127.05076626109194,108.5,7.83320928095066e-05
Sujeto2,Moderado,38,0.00838749432371346,0.0022847278123124645,8.443337893901392,78,567,208,137.84113869317542,116.0,0.00014493814168449966
Sujeto2,Moderado,39,0.009903859549185283,0.0022939896291701515,8.626992059061287,69,546,213,121.82466709956067,102.0,0.00015851152544795277
Sujeto2,Moderado,40,0.010056741259895776,0.0021418857803291425,9.0962971821356,86,535,239,145.74577241668723,123.5,0.00016841802338309753
Sujeto2,Moderado,41,0.014561430890936188,0.003217056993460355,12.832291338386677,112,544,321,140.73134211788445,118.0,0.00019507617490186938
