sujeto,condicion,ventana,RMS,MAV,WL,ZC,SSC,WAMP,MNF,MDF,Power
Sujeto1,Moderado,31,0.008514700101898903,0.0013394477931625902,3.8163345956160697,25,234,94,106.2705900085797,97.0,0.00017796769558414203
Sujeto1,Moderado,32,0.009529319923541897,0.001842444567579804,4.763526314584915,28,256,126,92.64339393380897,83.0,0.00020451966763885301
Sujeto1,Moderado,33,0.008812689050076787,0.0019203927320714347,4.675764070189722,35,282,140,78.71604608465655,54.5,0.0002056407220385282
Sujeto1,Moderado,34,0.007220914366495704,0.0012015650615394187,3.525364214178997,31,256,97,93.89894211688475,57.5,9.27042344377073e-05
Sujeto1,Moderado,35,0.007663489238023525,0.0010347468685608467,3.045183631307507,22,260,80,88.81830392256681,81.0,9.206344536006944e-05
Sujeto1,Moderado,36,0.008375872966573198,0.0013201170971675286,4.138040769034246,33,292,120,107.7546057097575,97.5,9.467536641730398e-05
Sujeto1,Moderado,37,0.005051834255969414,0.0008313063465078271,2.4838428561424477,22,223,78,97.4090295559368,90.0,4.7120221510354265e-05
Sujeto1,Moderado,38,0.00577447333986163,0.0011588977903179345,2.774225616309533,19,235,78,79.84805893401186,75.0,6.491382874871487e-05
Sujeto1,Moderado,39,0.010725080776917608,0.0025125265373665867,5.917171739717182,34,313,161,84.38453655287584,79.5,0.0002058004479755287
Sujeto1,Moderado,40,0.012254762028492398,0.0031145221647618944,7.946573003013327,47,343,213,73.21563769374876,58.0,0.00037551278832315946
Sujeto1,Moderado,41,0.009180747461903926,0.0023458881072679497,6.6177328040326096,59,397,193,103.04508038438888,90.5,0.00014787866953118085
Sujeto1,Moderado,42,0.006208041983825896,0.0014081327886129548,3.8269184851563987,43,331,122,68.40265511726015,56.0,6.751408960065138e-05
Sujeto1,Moderado,43,0.006404762756816662,0.0012168127022604371,3.9553825354785377,28,255,83,146.36341819771698,138.0,8.539897493547652e-05
Sujeto1,Moderado,44,0.007642248859827467,0.0015817010684877671,4.806191050434688,34,325,112,130.456344057051,80.5,9.274597644994379e-05
Sujeto1,Moderado,45,0.010898137316682472,0.0029310660639895146,7.559427065594631,54,448,223,90.93010957609592,76.5,0.00027314247907327214
Sujeto1,Moderado,46,0.012641554069257533,0.003616744018872275,9.585482856655876,63,505,246,93.65006461002154,85.5,0.0002977908708470651
Sujeto1,Moderado,47,0.010186629437970763,0.0022274849758548015,5.622621061147688,32,323,122,111.76143202407218,99.5,0.00010119439658770199
Sujeto1,Moderado,48,0.013890288984839017,0.0031731729129901324,10.048866125400975,68,398,243,92.19088505736994,87.0,0.0002345728339488648
Sujeto1,Moderado,49,0.015011010322823686,0.0038224698118867963,12.450586465748744,88,504,307,101.4492638980691,95.0,0.0004986000521817869
Sujeto1,Moderado,50,0.010457412567124378,0.0026040808396737844,6.401357920060944,44,404,174,88.0761381688758,64.0,0.0001670434876318651
Sujeto1,Moderado,51,0.010997500139248193,0.0032461651856675864,8.169831282104969,64,512,236,89.01234331810113,68.0,0.00023331414108572154
Sujeto1,Moderado,52,0.011059571450612935,0.0026978055279454267,7.308938363211148,55,378,200,93.8729598928981,85.5,0.0002482500514728223
Sujeto1,Intenso,1,0.008102941413511268,0.0015865274977446473,3.7097454148987703,22,236,101,59.75705105715936,48.0,7.026076429122447e-05
Sujeto1,Intenso,2,0.003909922336025085,0.0008423624878680816,1.5999484455932564,10,239,40,70.74539561673657,65.0,4.0479621429879706e-05
